	observed_features
41B_Day7_10	71
41B_Day7_11	63
41B_Day7_12	71
41B_Day7_13	63
41B_Day7_14	71
41B_Day7_15	81
41B_Day7_16	71
41B_Day7_17	63
41B_Day7_18	63
41B_Day7_19	71
41B_Day7_1	71
41B_Day7_20	63
41B_Day7_21	63
41B_Day7_22	71
41B_Day7_23	63
41B_Day7_24	67
41B_Day7_2	71
41B_Day7_3	70
41B_Day7_4	63
41B_Day7_5	71
41B_Day7_6	63
41B_Day7_7	71
41B_Day7_8	71
41B_Day7_9	71
41B_Month1_10	8
41B_Month1_11	8
41B_Month1_12	8
41B_Month1_13	645
41B_Month1_14	1120
41B_Month1_15	1081
41B_Month1_16	1118
41B_Month1_17	1121
41B_Month1_18	866
41B_Month1_19	8
41B_Month1_1	952
41B_Month1_20	1103
41B_Month1_21	7
41B_Month1_22	8
41B_Month1_23	14
41B_Month1_24	7
41B_Month1_2	991
41B_Month1_3	8
41B_Month1_4	8
41B_Month1_5	8
41B_Month1_6	8
41B_Month1_7	958
41B_Month1_8	8
41B_Month1_9	8
41B_Month3_10	71
41B_Month3_11	69
41B_Month3_12	8
41B_Month3_13	71
41B_Month3_14	75
41B_Month3_15	63
41B_Month3_16	71
41B_Month3_17	71
41B_Month3_18	69
41B_Month3_19	71
41B_Month3_1	71
41B_Month3_20	29
41B_Month3_21	71
41B_Month3_22	71
41B_Month3_23	71
41B_Month3_24	8
41B_Month3_3	64
41B_Month3_4	71
41B_Month3_5	67
41B_Month3_6	71
41B_Month3_7	71
41B_Month3_8	71
41B_Month3_9	8
41B_Month6_10	71
41B_Month6_11	71
41B_Month6_12	78
41B_Month6_13	71
41B_Month6_14	71
41B_Month6_15	71
41B_Month6_16	71
41B_Month6_17	70
41B_Month6_18	8
41B_Month6_19	71
41B_Month6_1	71
41B_Month6_20	8
41B_Month6_21	71
41B_Month6_22	71
41B_Month6_23	71
41B_Month6_24	71
41B_Month6_2	139
41B_Month6_3	71
41B_Month6_4	75
41B_Month6_5	71
41B_Month6_6	175
41B_Month6_7	71
41B_Month6_8	67
41B_Month6_9	70
41LL_Day7_10	8
41LL_Day7_11	8
41LL_Day7_12	71
41LL_Day7_13	7
41LL_Day7_14	8
41LL_Day7_15	68
41LL_Day7_16	71
41LL_Day7_17	75
41LL_Day7_18	71
41LL_Day7_19	68
41LL_Day7_1	73
41LL_Day7_20	139
41LL_Day7_21	140
41LL_Day7_22	8
41LL_Day7_23	71
41LL_Day7_24	68
41LL_Day7_2	8
41LL_Day7_3	71
41LL_Day7_4	71
41LL_Day7_5	71
41LL_Day7_6	71
41LL_Day7_7	73
41LL_Day7_8	71
41LL_Day7_9	71
41LL_Month3_10	71
41LL_Month3_11	63
41LL_Month3_12	65
41LL_Month3_13	70
41LL_Month3_14	71
41LL_Month3_15	71
41LL_Month3_16	8
41LL_Month3_17	71
41LL_Month3_18	69
41LL_Month3_19	63
41LL_Month3_1	71
41LL_Month3_20	63
41LL_Month3_21	63
41LL_Month3_22	63
41LL_Month3_23	8
41LL_Month3_24	8
41LL_Month3_2	71
41LL_Month3_3	8
41LL_Month3_4	71
41LL_Month3_5	71
41LL_Month3_7	62
41LL_Month3_8	71
41LL_Month3_9	63
41LL_Month6_10	71
41LL_Month6_11	71
41LL_Month6_12	71
41LL_Month6_13	176
41LL_Month6_14	71
41LL_Month6_15	71
41LL_Month6_16	71
41LL_Month6_17	71
41LL_Month6_18	71
41LL_Month6_19	71
41LL_Month6_1	70
41LL_Month6_20	139
41LL_Month6_21	71
41LL_Month6_22	102
41LL_Month6_23	177
41LL_Month6_24	71
41LL_Month6_2	71
41LL_Month6_3	67
41LL_Month6_4	70
41LL_Month6_5	71
41LL_Month6_6	67
41LL_Month6_7	100
41LL_Month6_8	71
41LL_Month6_9	141
41L_Day3_10	70
41L_Day3_11	148
41L_Day3_12	71
41L_Day3_13	100
41L_Day3_14	71
41L_Day3_15	161
41L_Day3_16	71
41L_Day3_17	71
41L_Day3_18	71
41L_Day3_19	71
41L_Day3_1	71
41L_Day3_20	71
41L_Day3_21	71
41L_Day3_22	128
41L_Day3_23	8
41L_Day3_24	60
41L_Day3_2	71
41L_Day3_3	81
41L_Day3_4	71
41L_Day3_5	71
41L_Day3_6	81
41L_Day3_7	71
41L_Day3_8	71
41L_Day3_9	81
41L_Day7_10	71
41L_Day7_11	156
41L_Day7_12	71
41L_Day7_13	71
41L_Day7_14	68
41L_Day7_15	70
41L_Day7_17	66
41L_Day7_18	68
41L_Day7_19	71
41L_Day7_1	71
41L_Day7_20	71
41L_Day7_21	71
41L_Day7_22	71
41L_Day7_23	71
41L_Day7_24	81
41L_Day7_2	87
41L_Day7_3	8
41L_Day7_4	68
41L_Day7_5	175
41L_Day7_6	68
41L_Day7_7	8
41L_Day7_8	71
41L_Day7_9	71
41L_Month10_10	101
41L_Month10_11	100
41L_Month10_12	705
41L_Month10_13	652
41L_Month10_14	81
41L_Month10_15	698
41L_Month10_16	79
41L_Month10_17	71
41L_Month10_18	74
41L_Month10_19	8
41L_Month10_1	121
41L_Month10_20	602
41L_Month10_21	71
41L_Month10_22	71
41L_Month10_23	71
41L_Month10_24	678
41L_Month10_2	71
41L_Month10_3	124
41L_Month10_4	296
41L_Month10_5	101
41L_Month10_6	81
41L_Month10_7	71
41L_Month10_8	952
41L_Month10_9	659
41L_Month1_10	207
41L_Month1_11	207
41L_Month1_12	206
41L_Month1_13	79
41L_Month1_14	63
41L_Month1_15	121
41L_Month1_16	216
41L_Month1_17	81
41L_Month1_18	10
41L_Month1_19	81
41L_Month1_1	201
41L_Month1_20	8
41L_Month1_21	206
41L_Month1_22	100
41L_Month1_23	207
41L_Month1_24	131
41L_Month1_2	178
41L_Month1_3	206
41L_Month1_4	80
41L_Month1_5	10
41L_Month1_6	81
41L_Month1_7	88
41L_Month1_8	71
41L_Month1_9	68
41L_Month3_10	8
41L_Month3_11	7
41L_Month3_12	63
41L_Month3_13	71
41L_Month3_14	69
41L_Month3_15	7
41L_Month3_16	71
41L_Month3_17	112
41L_Month3_18	25
41L_Month3_1	71
41L_Month3_21	63
41L_Month3_22	63
41L_Month3_23	8
41L_Month3_24	7
41L_Month3_2	68
41L_Month3_3	8
41L_Month3_4	71
41L_Month3_5	70
41L_Month3_6	8
41L_Month3_7	71
41L_Month3_8	119
41L_Month3_9	71
41L_Month6_10	139
41L_Month6_11	139
41L_Month6_12	206
41L_Month6_13	71
41L_Month6_14	71
41L_Month6_15	139
41L_Month6_16	139
41L_Month6_17	139
41L_Month6_18	71
41L_Month6_19	139
41L_Month6_1	7
41L_Month6_20	139
41L_Month6_21	71
41L_Month6_22	71
41L_Month6_23	139
41L_Month6_24	206
41L_Month6_2	70
41L_Month6_3	8
41L_Month6_4	71
41L_Month6_5	69
41L_Month6_6	175
41L_Month6_7	139
41L_Month6_8	139
41L_Month6_9	71
41N_Day7_10	67
41N_Day7_11	117
41N_Day7_12	71
41N_Day7_13	67
41N_Day7_14	68
41N_Day7_15	68
41N_Day7_16	68
41N_Day7_17	8
41N_Day7_18	8
41N_Day7_19	8
41N_Day7_1	8
41N_Day7_20	71
41N_Day7_21	61
41N_Day7_22	7
41N_Day7_23	68
41N_Day7_24	8
41N_Day7_2	84
41N_Day7_3	8
41N_Day7_4	92
41N_Day7_5	7
41N_Day7_6	8
41N_Day7_7	8
41N_Day7_8	8
41N_Day7_9	8
41N_Month1_10	8
41N_Month1_11	8
41N_Month1_12	8
41N_Month1_13	71
41N_Month1_14	955
41N_Month1_15	1117
41N_Month1_16	1116
41N_Month1_17	1149
41N_Month1_18	1039
41N_Month1_19	8
41N_Month1_1	7
41N_Month1_20	1094
41N_Month1_21	8
41N_Month1_22	8
41N_Month1_23	8
41N_Month1_24	8
41N_Month1_2	70
41N_Month1_3	1022
41N_Month1_4	8
41N_Month1_5	1121
41N_Month1_6	8
41N_Month1_7	71
41N_Month1_8	1098
41N_Month1_9	8
41N_Month3_10	71
41N_Month3_11	71
41N_Month3_12	63
41N_Month3_13	71
41N_Month3_14	8
41N_Month3_15	81
41N_Month3_16	71
41N_Month3_17	71
41N_Month3_18	71
41N_Month3_19	8
41N_Month3_1	71
41N_Month3_20	63
41N_Month3_21	29
41N_Month3_22	8
41N_Month3_23	8
41N_Month3_24	61
41N_Month3_2	69
41N_Month3_3	8
41N_Month3_4	71
41N_Month3_5	71
41N_Month3_6	71
41N_Month3_7	7
41N_Month3_8	71
41N_Month3_9	71
41N_Month6_10	71
41N_Month6_11	71
41N_Month6_12	139
41N_Month6_13	71
41N_Month6_14	71
41N_Month6_15	71
41N_Month6_16	71
41N_Month6_17	71
41N_Month6_18	71
41N_Month6_19	71
41N_Month6_1	71
41N_Month6_20	71
41N_Month6_21	71
41N_Month6_22	71
41N_Month6_23	71
41N_Month6_24	71
41N_Month6_2	71
41N_Month6_3	70
41N_Month6_4	71
41N_Month6_5	70
41N_Month6_6	71
41N_Month6_7	71
41N_Month6_8	71
41N_Month6_9	71
41R_Day3_10	71
41R_Day3_11	71
41R_Day3_12	80
41R_Day3_13	71
41R_Day3_14	71
41R_Day3_15	101
41R_Day3_16	71
41R_Day3_17	71
41R_Day3_18	71
41R_Day3_1	129
41R_Day3_20	81
41R_Day3_21	68
41R_Day3_22	71
41R_Day3_23	78
41R_Day3_24	71
41R_Day3_2	71
41R_Day3_3	71
41R_Day3_4	71
41R_Day3_5	69
41R_Day3_6	71
41R_Day3_7	71
41R_Day3_8	71
41R_Day3_9	81
41R_Day7_10	66
41R_Day7_11	69
41R_Day7_12	64
41R_Day7_13	71
41R_Day7_14	68
41R_Day7_15	8
41R_Day7_16	71
41R_Day7_17	68
41R_Day7_18	111
41R_Day7_19	71
41R_Day7_1	68
41R_Day7_20	72
41R_Day7_21	71
41R_Day7_22	72
41R_Day7_23	71
41R_Day7_24	91
41R_Day7_2	8
41R_Day7_3	118
41R_Day7_4	8
41R_Day7_5	9
41R_Day7_6	8
41R_Day7_7	71
41R_Day7_8	175
41R_Day7_9	8
41R_Month10_10	71
41R_Month10_11	65
41R_Month10_12	71
41R_Month10_13	781
41R_Month10_14	911
41R_Month10_15	71
41R_Month10_16	71
41R_Month10_17	81
41R_Month10_18	278
41R_Month10_19	369
41R_Month10_1	636
41R_Month10_20	225
41R_Month10_21	68
41R_Month10_22	61
41R_Month10_23	605
41R_Month10_24	175
41R_Month10_2	1017
41R_Month10_3	71
41R_Month10_4	67
41R_Month10_5	71
41R_Month10_6	240
41R_Month10_7	71
41R_Month10_8	63
41R_Month10_9	71
41R_Month1_10	81
41R_Month1_11	206
41R_Month1_12	204
41R_Month1_13	102
41R_Month1_14	136
41R_Month1_15	80
41R_Month1_16	107
41R_Month1_17	94
41R_Month1_18	8
41R_Month1_19	81
41R_Month1_1	124
41R_Month1_20	206
41R_Month1_21	101
41R_Month1_22	206
41R_Month1_23	207
41R_Month1_24	134
41R_Month1_2	81
41R_Month1_3	70
41R_Month1_4	104
41R_Month1_5	63
41R_Month1_6	38
41R_Month1_7	81
41R_Month1_8	86
41R_Month1_9	68
41R_Month3_10	63
41R_Month3_11	63
41R_Month3_12	63
41R_Month3_13	71
41R_Month3_14	69
41R_Month3_15	67
41R_Month3_16	8
41R_Month3_17	63
41R_Month3_18	63
41R_Month3_19	7
41R_Month3_1	75
41R_Month3_20	63
41R_Month3_21	63
41R_Month3_22	24
41R_Month3_23	62
41R_Month3_24	63
41R_Month3_2	71
41R_Month3_3	8
41R_Month3_4	8
41R_Month3_5	63
41R_Month3_6	63
41R_Month3_7	63
41R_Month3_8	63
41R_Month3_9	71
41R_Month6_10	71
41R_Month6_11	71
41R_Month6_12	71
41R_Month6_13	71
41R_Month6_14	71
41R_Month6_15	71
41R_Month6_16	71
41R_Month6_17	71
41R_Month6_18	71
41R_Month6_19	71
41R_Month6_1	70
41R_Month6_20	71
41R_Month6_21	71
41R_Month6_22	71
41R_Month6_23	71
41R_Month6_24	71
41R_Month6_2	82
41R_Month6_3	71
41R_Month6_5	71
41R_Month6_6	139
41R_Month6_7	71
41R_Month6_8	123
41R_Month6_9	71
42L_Day7_10	71
42L_Day7_11	63
42L_Day7_12	63
42L_Day7_13	71
42L_Day7_14	63
42L_Day7_15	63
42L_Day7_16	61
42L_Day7_17	71
42L_Day7_18	71
42L_Day7_19	71
42L_Day7_1	63
42L_Day7_20	71
42L_Day7_21	63
42L_Day7_22	61
42L_Day7_23	71
42L_Day7_24	63
42L_Day7_2	71
42L_Day7_3	63
42L_Day7_4	62
42L_Day7_5	63
42L_Day7_6	71
42L_Day7_7	71
42L_Day7_8	63
42L_Day7_9	63
42L_Month3_10	8
42L_Month3_11	63
42L_Month3_12	8
42L_Month3_13	63
42L_Month3_14	118
42L_Month3_15	7
42L_Month3_16	100
42L_Month3_17	71
42L_Month3_18	7
42L_Month3_19	71
42L_Month3_1	71
42L_Month3_20	62
42L_Month3_21	72
42L_Month3_23	8
42L_Month3_24	71
42L_Month3_2	63
42L_Month3_3	63
42L_Month3_4	63
42L_Month3_5	71
42L_Month3_8	71
42L_Month3_9	71
42L_Month6_10	65
42L_Month6_11	71
42L_Month6_12	139
42L_Month6_13	70
42L_Month6_14	68
42L_Month6_15	71
42L_Month6_16	71
42L_Month6_17	65
42L_Month6_18	8
42L_Month6_19	8
42L_Month6_1	71
42L_Month6_20	71
42L_Month6_21	8
42L_Month6_22	8
42L_Month6_23	71
42L_Month6_24	70
42L_Month6_2	90
42L_Month6_3	71
42L_Month6_4	66
42L_Month6_5	72
42L_Month6_6	8
42L_Month6_7	8
42L_Month6_8	71
42L_Month6_9	68
42N_Day7_10	63
42N_Day7_11	63
42N_Day7_12	63
42N_Day7_13	71
42N_Day7_14	71
42N_Day7_15	63
42N_Day7_16	71
42N_Day7_17	63
42N_Day7_18	63
42N_Day7_19	63
42N_Day7_1	71
42N_Day7_20	70
42N_Day7_21	63
42N_Day7_22	63
42N_Day7_23	71
42N_Day7_24	67
42N_Day7_2	71
42N_Day7_3	71
42N_Day7_4	63
42N_Day7_5	63
42N_Day7_6	63
42N_Day7_7	71
42N_Day7_8	73
42N_Day7_9	73
42N_Month3_10	71
42N_Month3_11	8
42N_Month3_12	8
42N_Month3_13	71
42N_Month3_14	67
42N_Month3_15	63
42N_Month3_16	77
42N_Month3_17	71
42N_Month3_18	7
42N_Month3_19	63
42N_Month3_1	71
42N_Month3_20	102
42N_Month3_21	71
42N_Month3_23	8
42N_Month3_24	73
42N_Month3_2	71
42N_Month3_3	63
42N_Month3_4	71
42N_Month3_5	71
42N_Month3_6	71
42N_Month3_7	73
42N_Month3_8	69
42N_Month3_9	118
42N_Month6_10	99
42N_Month6_11	71
42N_Month6_12	71
42N_Month6_13	137
42N_Month6_14	100
42N_Month6_15	102
42N_Month6_16	71
42N_Month6_17	71
42N_Month6_18	7
42N_Month6_19	71
42N_Month6_1	139
42N_Month6_20	102
42N_Month6_21	7
42N_Month6_22	59
42N_Month6_23	71
42N_Month6_24	7
42N_Month6_2	73
42N_Month6_3	71
42N_Month6_4	70
42N_Month6_5	70
42N_Month6_6	65
42N_Month6_7	7
42N_Month6_8	85
42N_Month6_9	71
42R_Day7_10	71
42R_Day7_11	71
42R_Day7_12	63
42R_Day7_13	71
42R_Day7_14	71
42R_Day7_15	71
42R_Day7_16	71
42R_Day7_17	71
42R_Day7_18	71
42R_Day7_19	71
42R_Day7_1	63
42R_Day7_20	63
42R_Day7_21	69
42R_Day7_22	63
42R_Day7_23	63
42R_Day7_24	71
42R_Day7_2	71
42R_Day7_3	63
42R_Day7_4	63
42R_Day7_5	71
42R_Day7_6	63
42R_Day7_7	71
42R_Day7_8	71
42R_Day7_9	63
42R_Month3_10	71
42R_Month3_11	71
42R_Month3_12	70
42R_Month3_13	8
42R_Month3_14	71
42R_Month3_15	71
42R_Month3_16	71
42R_Month3_17	71
42R_Month3_19	78
42R_Month3_1	71
42R_Month3_20	65
42R_Month3_21	8
42R_Month3_22	8
42R_Month3_23	70
42R_Month3_24	70
42R_Month3_2	71
42R_Month3_3	71
42R_Month3_4	72
42R_Month3_5	71
42R_Month3_6	8
42R_Month3_7	71
42R_Month3_8	8
42R_Month3_9	71
42R_Month6_10	8
42R_Month6_11	71
42R_Month6_12	72
42R_Month6_13	75
42R_Month6_14	68
42R_Month6_15	110
42R_Month6_16	7
42R_Month6_17	68
42R_Month6_18	68
42R_Month6_19	67
42R_Month6_1	75
42R_Month6_20	100
42R_Month6_21	174
42R_Month6_22	70
42R_Month6_23	71
42R_Month6_24	71
42R_Month6_2	71
42R_Month6_3	71
42R_Month6_4	71
42R_Month6_5	71
42R_Month6_6	8
42R_Month6_7	8
42R_Month6_8	100
42R_Month6_9	71
43B_Day7_10	71
43B_Day7_11	71
43B_Day7_12	71
43B_Day7_13	63
43B_Day7_14	63
43B_Day7_15	71
43B_Day7_16	71
43B_Day7_17	71
43B_Day7_18	63
43B_Day7_19	71
43B_Day7_1	70
43B_Day7_20	71
43B_Day7_21	71
43B_Day7_22	71
43B_Day7_23	71
43B_Day7_24	63
43B_Day7_2	63
43B_Day7_3	71
43B_Day7_4	63
43B_Day7_5	71
43B_Day7_6	71
43B_Day7_7	63
43B_Day7_8	63
43B_Day7_9	71
